Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
蒙师,蒙师,一丝不苟yīsībùgǒu一丝不苟的英文翻译1.nottobetheleastbitnegligent;tobescrupulousabouteverydetail;tobeconscientiousandmeticulous;todothingscarefullyandseriously;tobeprecise;tocrossone'sT's
GMF,GMF,
黑柠檬,黑柠檬,《黑柠檬》是1990年2月时报文化出版的图书，作者是敖幼祥。本书是《乌龙院》的系列的漫本之一，讲述了杀手黑柠檬被卷入一场斗争中的故事。
雅文,雅文,雅文，中共党员，贵州省文联副主席、贵州合唱协会理事长、一级作曲，兼任中国少数民族音乐学会理事、中国民族弦乐学会、中国合唱协会常务理事等。
景珂,景珂,景珂（原名梁镜珂），毕业于北京电影学院表演系本科99级，中国内地女演员。2003年，主演青春偶像剧《少女总裁》 ，自此开始演艺事业。2004年，受邀作为刘德华世界巡回演唱会唯一的内地舞蹈嘉宾 。2005年，领衔主演剧情电影《定军山》 。2007年，主演的红色间谍剧《英雄无名》获得第3届首尔国际电视节最佳电视剧 。2008年加盟农村家庭剧《绝地逢生》 。2009年，参演家庭情感剧《媳妇的美好时代》 。2010年，出演谍战剧《黎明之前》 。2011年，主演都市生活情感剧《婆婆也是妈》 。2013年，出演惊险枪战剧《冷枪手》 。2016年9月，凭借犯罪悬疑电影《你在哪》获得第四届温哥华国际华语电影节最佳女主角 。
epc,EPC,EPC（EngineeringProcurementConstruction）是指公司受业主委托，按照合同约定对工程建设项目的设计、采购、施工、试运行等实行全过程或若干阶段的承包。通常公司在总价合同条件下，对其所承包工程的质量、安全、费用和进度进行负责。在EPC模式中，Engineering不仅包括具体的设计工作，而且可能包括整个建设工程内容的总体策划以及整个建设工程实施组织管理的策划和具体工作；Procurement也不是一般意义上的建筑设备材料采购，而更多的是指专业设备、材料的采购；Construction应译为“建设”，其内容包括施工、安装、试测、技术培训等。 还应包括全部正常达标，接手就可正常使用。交付前应做无负荷试运行、还包括带负荷联动试运行、试生产直至达产达标，正常生产为止。
能臣,能臣,能臣，汉语词汇，意思是高才干练之臣。
瑞凤,瑞凤,瑞凤是日本角川公司开发的收集类游戏《舰队Collection》（舰队これくしょん-舰これ-）及其衍生作品的登场角色。原型为旧日本海军瑞凤号轻型航空母舰。
艾尚居,艾尚居,艾尚居是佛山艾尚居家居用品有限公司旗下的独立晾衣架品牌。佛山艾尚居家居用品有限公司是一家专业生产升降晾衣架、落地晾衣架、铝衣架、卫浴挂件的厂家，坐落于广东省佛山市南海区里水镇大冲工业区内，地理位置十分良好，临近原材料集中地，离广州白云区大型物流集中地只有十分钟的车程，大大降低物流成本。
加加林,尤里·阿列克谢耶维奇·加加林,尤里·阿列克谢耶维奇·加加林（YuriAlekseyevichGagarin，1934年3月9日—1968年3月27日），世界第一名航天员，苏联英雄，前苏联太空人，前苏联红军上校飞行员，是第一个进入太空的地球人，也是第一个从太空中看到地球全貌的人。加加林生于前苏联斯摩棱斯克州格扎茨克区的克卢希诺镇一个集体农庄庄员家庭，白俄罗斯人。1955年从萨拉托夫工业技术学校毕业后参军。1957年在契卡洛夫第一军事航空飞行员学校结业，成为红旗北方舰队航空兵歼击机飞行员，同年与瓦莲京娜结婚。1960年被选为航天员，加入苏联共产党。1968年3月27日因飞机失事遇难，但具体死因仍众说纷纭。 2016年4月12日，俄罗斯乌格列戈尔斯克，当地举办由尤里-加加林完成的世界首次载人太空飞行55周年纪念活动。 
星洛,星洛,星洛，原名劳毅凡。中学生。13岁时免费出版了30万字作品。
云牌,云牌,云牌是一个词语，拼音为yúnpái。
普乐美,普乐美,普乐美—国际高端厨卫品牌，水龙头十大品牌企业 。引进德国技术，在中国主要生产厨卫龙头、花洒、普乐美水槽、挂件、角阀、地漏等。普乐美传承欧洲精湛工艺，融合全球最新科技，专注不锈钢水龙头、花洒、普乐美水槽、挂件等厨卫五金解决方案。产品以304不锈钢为主材，其经久耐用、安全健康、节能环保、易于保养等方面的优越性超越其他材料生产的产品，成为全新一代的健康卫浴产品。将引领卫浴行业发展新方向。
海选,海选,“海选”是中国农民在村民自治中创造的一种直接选举方式，用四个字概括，就是“村官直选”。这种选举方式是吉林省梨树县梨树乡北老壕村在1986年换届选举时首创的，因而该县被称为“海选”故乡。现在，“海选”已不限于村委会选举了，最近，齐齐哈尔市富裕县用“海选”法选出了县长。“海选”也已用于非政权领域的选举，被众多娱乐选秀节目采用，从“超级女声”到“红楼梦中人”，越来越多的电视节目用此方式对众多的参赛选手进行初次选拔。
鸿雁,鸿雁,鸿雁 诞生于1981年，是中国普天旗下大型央企， 是国内著名的建筑电气产品的生产、经营企业具有三十余年的专业生产各类建筑配电产品的历史;任中国电器工业协会电器附件分会副理事长单位、国家半导体照明技术标准工作组副会长单位、中国照明电器协会智能照明专业委员会主任委员单位；全国知识产权示范企业、“国家科技进步二等奖”获奖企业，2000年在同行业中率先被认定为“中国驰名商标”。 
ZENIT,Zenit,KMZ是一个集团企业，生产单反相机夜视镜、望远镜、医疗设备以及数码DC产品，而Zenit单反相机可能是现唯一还在生产的M42接口的相机品牌。
We Young,We Young,《WeYoung》是韩国男子演唱组合NCT的一张迷你专辑，唱片内部共收录五首歌曲，于2017年8月17日通过韩国SM娱乐有限公司发行 。
秀才,秀才,秀才别称茂才，原指才之秀者，始见于《管子·小匡》。汉以来成荐举人才的科目之一。亦曾作为学校生员的专称，现代也比喻知识量丰富的人。
Shinee,SHINee,SHINee是韩国SM娱乐有限公司于2008年推出的男子流行演唱组合，由李珍基、金钟铉、金基范、崔珉豪、李泰民5名成员组成 。2008年5月25日，SHINee以歌曲《姐姐真漂亮》出道；同年8月28日发行首张正规专辑，获得第23届韩国金唱片新人组合奖。2010年7月发行第二张正规专辑《Lucifer》，获韩国金唱片唱片本赏。2011年6月22发行日语单曲《Replay-君は仆のeverything》，在日本出道，凭借该曲入选日本唱片协会金唱片。2014年首度入围福布斯韩国名人榜第八位 ；同年3月开展“The3ndAsiaTour“SHINeeWorldIII”演唱会。2015年5月开展“SHINeeWorld4InSeoul”演唱会；同年5月18日发行第四张正规专辑《Odd》 。2016年3月29日，SHINee在第23届《东方风云榜》音乐盛典上获颁“亚洲杰出组合奖” 。
雅约,雅约,雅约是一名西班牙籍足球运动员，球场位置是后卫。
冠军,冠军,冠军是一个汉语词汇，拼音是guànjūn，泛指体育、文化、艺术表演等竞技比赛中的第一名。出自于《史记·黥布列传》。
华雄,华雄,华雄（?－191），中国东汉末年董卓部下的武将，为董卓帐下都督。公元191年，关东军阀联合讨伐董卓，时任长沙太守的孙坚大破董卓军，华雄在此战中被孙坚一军所杀。明·罗贯中所著历史小说《三国演义》中则对这段历史作了改动，描写华雄被刘备二弟关羽所杀，这段被称为“温酒斩华雄”的故事情节也流传于后世。 
白元,白元,白元，网络小说作者，动漫作者，“永亲”、“灵木爱人”动漫人物形象创作者，“灵爱学”创立者，提出“平衡生活”的环保思想。
ReFa,REFA,REFA–德国企业管理协会源自1924年9月成立的“帝国劳动时间考察委员会”，是当今世界上历史最悠久、规模最大的劳动研究和企业管理组织。REFA的目标是结合企业生产能力和员工需求为企业定制盈利的解决方案。对高效工作流程的开发是REFA的第一次重要创新成果。第二个重要成果是以测量、评估和塑造工作系统为基础的研究工作的发展。REFA努力在实践中实现理论和科学相结合的解决方案，而以科学管理为基础的REFA解决方案，可应用于各个行业、各种规模的企业工厂。
Member's Mark,Member's Mark,
九宫格,九宫格,九宫格，一款数字游戏，起源于河图洛书，河图与洛书是中国古代流传下来的两幅神秘图案，历来被认为是河洛文化的滥觞，中华文明的源头，被誉为"宇宙魔方"。相传，上古伏羲氏时，洛阳东北孟津县境内的黄河中浮出龙马，背负"河图"，献给伏羲。伏羲依此而演成八卦，后为《周易》来源。又相传，大禹时，洛阳西洛宁县洛河中浮出神龟，背驮"洛书"，献给大禹。大禹依此治水成功，遂划天下为九州。又依此定九章大法，治理社会，流传下来收入《尚书》中，名《洪范》。《易·系辞上》说："河出图，洛出书，圣人则之"，就是指这两件事。
爱情树,爱情树,《爱情树》是张智成发行的一张音乐专辑，专辑中收录了爱情树、快乐、痊愈等11首歌曲，由华研国际2006-05-05发行。
申翰,申翰,申翰，选贡。嘉靖二十六年，任文县。
系家,系家,系家，读音xìjiā，汉语词语，指世家。
迪沃斯,迪沃斯,迪沃斯（DAVOSA）是瑞士钟表品牌，于1861年在瑞士侏罗山区创立。迪沃斯始终致力于坚持把质量、创新和个性化融入手表制作中。
九次方,九次方,九次方是一家集为一体的中关村高新技术企业，与国内重点大学——清华大学、中国农业大学合作，依托其核心的科研、人才、资源等优势，致力于创造人本、和谐、绿色的现代家居和公共环境，提供具有设计领先、人性化科技、高品质的环保产品。九次方科技以其人性化、高品质的产品，被市场所广泛接受和应用，得到了政府、媒体、企业、消费者的高度关注。九次方已在国内二十多个省市建立了办事处和营销网络，产品远销欧美、中东等五十多个国家和地区。
卫朴,卫朴,北宋神宗时期，由于王安石推行变法，经济有了较大发展，科学技术达到了当时世界先进水平，涌现出毕升、沈括等一批科学家。在淮安也出现了一位鲜为人知的盲人天文数学家卫朴。《辞海》介绍卫朴：“北宋天文数学家。淮南人。平民出身，精算法。曾得沈括赞赏……”淮南，实际上就是当时之楚州（今淮安市淮安区）。卫朴生活在十一世纪中期，大概因为他是盲人，没有“功名”，也未做过官，史书对其极少记载，具体生卒年月无考。我们只能从《梦溪笔谈》以及府、县志上找到一些零星记载。
志高,志高空调,广东志高空调有限公司创建于1994年 ，总部位于珠江三角洲工业重镇佛山市南海区，是一家以家用和商用空调生产、销售为主的大型现代化企业集团。经过十余年的不断发展与壮大，现公司占地面积近300万平方米，年产能达1000万套，名列南海工业经济综合实力百强榜首。总部拥有两大工业园，并在泰国、越南、博茨瓦纳、尼日利亚等国家设有多家合作工厂，市场营销网络遍布全球100多个国家和地区，是目前中国最大的民营空调生产基地和出口创汇企业之一。
先机,先机,先机是一个汉语词汇，意思是关键的时机，决定未来形势的时机。
VICTOR,周渝民,周渝民（VicChou），1981年6月9日出生于台湾省宜兰县，中国台湾影视男演员、流行乐歌手，F4组合成员 。2001年，凭借在偶像剧《流星花园》饰演花泽类而崭露头角 。2009年，在电视剧《痞子英雄》中成功饰演陈在天并凭借这部作品入围了第44届台湾电视金钟奖最佳男主角 。自2008年主演了电影《蝴蝶飞》之后，周渝民开始走上大荧幕，2011年，凭借影片《爱你一万年》获得大阪亚洲电影节最受观众欢迎大奖 。2013年，周渝民凭借在电视剧《彼岸1945》获得第48届台湾电视金钟奖最佳男主角奖 。2014年11月11日，主演的电影《单身男女2》上映 。2015年，参演彭顺执导电影《宅女侦探桂香》 。2016年，参演宫廷玄幻剧《柜中美人》 和犯罪动作大片《反贪风暴2》 。2018年3月1日，其主演的武侠剧《烈火如歌》在优酷播出 。
HANNAH,昆凌,昆凌（HannahQuinlivan），1993年8月12日出生于台北市西门町，中国台湾女模特、演员 。2008年，参与录制星空音乐台综艺节目《我爱黑涩会》，从而进入演艺圈 。2011年，担任选秀节目《我爱男子汉》主持人 。2012年4月，在偶像爱情剧《爱上巧克力》中饰演彭凯莉 ；8月，参与录制走秀节目《女人我最大》 。2013年，出演爱情美食剧《没有名字的甜点店》 。2014年1月，客串出演爱情喜剧片《大稻埕》 ；12月，加盟东方卫视明星舞蹈真人秀节目《与星共舞》 。2015年9月，出演青春偶像剧《明若晓溪》 ；11月，主演动作悬疑片《以父之名》 ；12月，出演爱情片《梦幻佳期》 。2016年9月，加盟时尚真人秀节目《我的新衣》 ；随后，主演动作片《极智追击：龙凤劫》 ；10月，搭档孟非主持儿童脱口秀节目《了不起的孩子》 。
Tockus,Tockus,Tockus照片书是上海大旗快印有限公司旗下个性印刷品牌，针对所有摄影爱好者，按需提供高品质摄影照片书的印制服务。让您获得真正印刷品质·一本起印的图书·
Meticulous,细致,细致（xìzhì），指办事精细周密或事物细密精致。 
乐途士,乐途士,乐途士 是佛山市鼎元纳米环保科技有限公司 旗下空气净化剂品牌，创立于2014年12月23日 。
诺轩,诺轩,诺轩(NOTIONAL)品牌成立于2009年，一直致力于男士商务休闲箱包皮具以及箱包皮具的研发设计，专业生产销售钱包、单肩包、手包、手提包、商务包、密码包、皮带等产品。倾力打造的“诺轩(NOTIONAL)”品牌，源自于对唯美的追求，以及时尚和休闲的向往，倡导一种轻松时尚、积极向上、用于挑战的生活方式。
Monster High,怪兽中学：我的同学是怪兽,《怪兽中学:我的同学是怪兽》的所有故事都跟这事儿有关！就在校园里，狼人来了，僵尸、木乃伊也来了！他们穿着最时尚的装扮，迈着轻盈的步伐，来了！蒙斯顿中学的新生弗兰琪是个绿怪兽，一激动指尖就冒火花。开学那天她没化装，把同学吓得落荒而逃。然而，她发现好多新同学都是怪兽！摄影棚里正在进行一次绝密的录影。摄像机前，杰克逊展示了变身术，弗兰琪露出了绿皮肤，克劳迪恩伸出了狼牙。他们准备把脸打上马赛克，向人类倾诉怪兽的苦衷。但不久，怪兽们却惊恐地在电视上看到了自己真实的脸！马赛克为什么会消失？难道有谁做了手脚？难道怪兽中出现了背叛者？显露真面会给怪兽带来怎样的命运？怪兽们习惯掩饰真实的自我，伪装成普通人；渴求别人的了解和接受，却没有勇气去争取……书中写怪兽，也是写人。其实“怪兽”就真实地存在于我们身边，存在于我们内心，渴求着理解、接纳和爱。《怪兽中学:我的同学是怪兽》是“怪兽中学”系列的第一部。在蒙斯顿中学的怪兽主题化装舞会上，怪兽们终于可以卸下伪装，混入化装成怪兽的普通人中。但就在大家正玩得高兴时，绿怪兽弗兰琪的头突然离开身体，飞了起来……警铃大作，全城发布怪兽通缉令。弗兰琪的头去了哪儿？怪兽社区又该如何应对被曝光的威胁？
芬尼斯,芬尼斯,芬尼斯，赛尔号2飞行系精灵。特性：浴火
阿德利亚,阿德利亚,阿德利亚公司专注于运营商无线宽带和企业/校园的移动信息化，是中国无线宽带产业发展的龙头企业之一，无线路由和视频优化的技术权威企业，2007/2008年中国无线城市的首选品牌。2009年成功入围中国移动WLAN集中采购名单，并在多个类别排名靠前。
席位,席位,席位是汉语词汇，拼音xíwèi，解释为个人或团体在会场上所占的坐位。
蒲公英,蒲公英,蒲公英（拉丁学名：TaraxacummongolicumHand.-Mazz.）菊科，蒲公英属多年生草本植物。根圆锥状，表面棕褐色，皱缩，叶边缘有时具波状齿或羽状深裂，基部渐狭成叶柄，叶柄及主脉常带红紫色，花葶上部紫红色，密被蛛丝状白色长柔毛；头状花序，总苞钟状，瘦果暗褐色，长冠毛白色，花果期4～10月。蒲公英别名黄花地丁、婆婆丁、华花郎等。菊科多年生草本植物。头状花序，种子上有白色冠毛结成的绒球，花开后随风飘到新的地方孕育新生命。
锦香,锦香,锦香，桃科植物。果实近圆或椭圆形，单果平均重180-206克，大果重246克，果顶圆平，果实两半匀称，果面底色金黄，色卡6级，近核无红色，果肉黄色，硬溶质，风味甜，微酸，汁液中等，香气浓。粘核，核椭圆形，核面粗糙。在上海地区成熟期为6月下旬。
米开朗,米开朗,米开朗是在电视剧《鬼同你OT》及其作品中中登场的虚拟人物，由陈豪饰演。该剧由中华人民共和国香港特别行政区电视剧TVB拍摄，中华人民共和国香港特别行政区电视广播有限公司出品。
守望者,守望者,《守望者》（Watchmen）是一部根据DC漫画改编的超级英雄电影。由扎克·施奈德执导，帕特里克·威尔森、卡拉·古奇诺、比利·克鲁德普、玛琳·阿克曼、杰弗里·迪恩·摩根、马修·古迪、杰基·厄尔·哈利等人主演。影片于2009年03月06日正式在美国上映。影片背景设定在1985年，那时超级英雄们因为受到政府的限制打压而逐渐销声匿迹。直到他们中的一位突然被谋杀，已经处于隐退状态的超级英雄们重又聚集了起来，对这起谋杀案展开了调查，然而调查显示这一切仅仅是个开始，这起谋杀案的背后还隐藏着一个更大的阴谋 。
新九州,新九州,新九州 是以国内第一奇幻架空世界九州为基础，拥有全新历史线和时间线的东方奇幻架空世界体系。新九州基于“九州”奇幻世界的基础设定进行了优化，着重于向外远航，开拓更大的疆域，形成一个崭新的九州世界。新九州将开启一个百舸争流、激扬海域的时代，一个九州大陆各族扬帆出海、乘风破浪的时代，发生多系列或铁血王权或奇遇探险或平凡英雄的故事。
澳绿宝,澳绿宝,“澳绿宝”又名是“澳绿宝宝石”，形成时间及地质年代久远，以澳洲产的为质量优者。
海琳娜,海琳娜,海琳娜（学名：EcheveriahyalinaE.Walther ）为景天科拟石莲花属的多年生植物，原产于墨西哥。多肉植物 。叶较厚，丛生，紧密排列，近三角形，温差大或者光照时间长的情况下呈现灰粉色。 
Yankee Candle,yankee candle,
合庆,合庆,合庆是一个汉语词汇，指的是同庆。
动动手,动动手,动动手 是同城帮忙的APP全民互助平台。可称为快递行业的“滴滴打车”，是一公里内人与物的“连接器”。目前，动动手已从“互联网+快递”平台，成长为帮我送、帮我运、帮我买、忙我忙等多项业务的一站式互帮互助平台。2016年6月，动动手APP软件用户、快递员版相继在安卓、苹果商店上线。 
优蓝,优蓝,优蓝手机客户端，是上海代乐网络科技有限公司开发的移动求职生活客户端。
蓝杉,蓝杉,蓝杉是一种常绿树种。株高9—15米，冠幅3—6米。树形为柱状至金字塔状，结构紧凑。树形美观，为不多见的蓝色叶树种，可孤植或丛植于庭院、广场、草坪绿地、建筑物前等，作为欧美传统的彩叶观赏树种，也可作盆栽于室内观赏。
德立淋浴房,德立淋浴房,德立，成立于1996年，是专业设计、制造、销售淋浴房及其配套产品的专业厂家，已获国级25项淋浴房产品专利，坚持全球顶级标准选材原则，开发了二十多个产品系列，一千多种非标产品
有来,有来,有来是汉语词语，拼音是yǒulái，指用于元代由蒙文直译成汉语的公牍等。
scala,Scala,Scala是一门多范式的编程语言，一种类似java的编程语言 ，设计初衷是实现可伸缩的语言 、并集成面向对象编程和函数式编程的各种特性。
华润漆,华润漆,1991年，华润漆创始于中国涂料之乡——顺德，是中国领先的专业生产建筑装饰装修涂料、高档木器涂料、水性涂料及高科技工业涂料系列产品的国际化、专业化集团企业。
迈森,迈森,迈森（德语：Meißen）是德国萨克森州迈森县的县治，位于易北河畔，距离州首府德累斯顿约25公里。迈森约有30000人口，是迈森瓷器、阿尔布莱希特城堡、哥特式建筑迈森大教堂和迈森圣母教堂的故乡。
摩亚,安哥尔·摩亚,安哥尔·摩亚（日文：アンゴル=モア罗马字：AngolMois）日本动漫作品《Keroro军曹》中登场的一名宇宙人。女性，安哥尔族。身高150cm，年龄以蓝星算法为2000岁以上。身份是恐怖大王和通信值勤兵。武器是路西法之枪，绝招是默示录攻击。（CV:能登麻美子/香港TVB版：曾佩仪，香港碟版：魏晨桦)，
好视力,好视力,北京好视力科技发展有限公司成立于2001年，是一家致力于眼健康产品的企业，2001年正式投放市场，已成为眼健康行业的领军品牌。好视力公司的主要产品是好视力护眼贴。北京好视力科技发展有限公司秉承体育营销之路，已相继成为“中国国家射击队的护眼产品”、“国内跳水系列赛事护眼产品”。好视力公司以“眼健康”为己任，率先开启了“绿色护眼”的时代。
莫顿,莫顿,莫顿是分支进化精灵，可以进化为古利安和隆米尔。机械系，本届机械王者，30级的时候拿去进化舱进化，分别需要100黄晶矿进化成吉利安，或者25的甲烷燃气进化成隆米尔11级个体36可以捕捉，10级个体34可以捕捉。
德尔,德尔,德尔集团(DER)是经国家工商行政管理总局批准的无区域、全行业的国家级集团，集团（含子公司）总注册资金1.6亿元，总部位于历史文化名城苏州。
字趣,字趣,《字趣》是学林出版社2004年8月出版的生活类书籍，作者胡建锋。
非常时光,非常时光,《非常时光》是问君几时回创作的网络小说，发表于起点网。
莱恩斯,莱恩斯,莱恩斯是北京莱恩斯涂料有限公司旗下商标，主要包括粉类、胶类、油漆、内外墙体保温板、工程等商品和服务。莱恩斯建材（北京）有限公司，是一家建筑领域内外墙系列产品开发和应用公司，提供建筑内外墙腻子、涂料、保温板等材料。
华伟,华伟,华伟，男，1962年10月出生，医学博士，心内科教授，博士研究生导师，现任阜外心血管病医院心内科副主任兼心律失常诊治中心副主任。
鑫诺伟天,鑫诺伟天,鑫诺伟天，是成都伟天家居用品有限公司的一个品牌，伟天家居用品有限公司是一家致力于个性化家居定制网络销售服务平台的专业公司。公司主要提供以家装基础的整体橱柜、整体衣柜衣帽间、整体书房书柜、整体鞋柜玄关柜、整体卫浴等整体家居产品的设计、生产、安装和售后，全方位打造个性化集成家居定制平台。公司聚集了一批具有多年行业经验的高级设计与管理人才，利用现代化网络销售平台，降低产品销售成本，让实惠真正体现在每一套产品中，打造家居行业全新销售模式，致力于品牌的成长与发展。公司95%以上的产品由工厂直接到客户手中，没有任何中间环节。公司以为顾客提供高品质的个性化集成家居生活为己任，以更优惠的价格得到更优质的产品，努力打造适合顾客个性化需求的家居生活方式。
MWH,mAh,mAh并不是一个能量单位，它需要乘上当前的电压才是真正的能量。一般电池都是1S单电芯，标准电压相同的时候用mAh来比较容量是可行的。但是在电动模型以及电单车等等，多个电芯串联，外观封装成一块电池的情况下，光查看mAh并不能准确比较容量。
卉布,卉布,卉布，拼音huìbù，是一个词汇，释义为指粗布，土布。
旺家星,旺家星,旺家星家居用品有限公司成立于2001年12月，是一家生产，研发，销售为一体的企业。
