Hodo,HODO,《HODO》是一款Android平台的应用。
猎域,猎域,《猎域》是千循音创作的网络小说，发表于纵横中文网、3g小说网、17k小说网。
范玮琪,范玮琪,范玮琪（FanFan），1976年3月18日出生于美国俄亥俄州，美国籍华裔流行乐女歌手、影视演员、主持人。1999年，签约福茂唱片，成为旗下签约艺人。2000年，推出首张个人音乐专辑《范范的世界》，从而正式进军歌坛 。2001年，凭借专辑《范范的世界》入围“第12届台湾金曲奖”最佳新人奖 ；同年，推出第二张个人音乐专辑《太阳》 。2002年，出演个人首部电视剧《爱情白皮书》 。2003年，推出第三张个人音乐专辑《真善美》 。2004年，在都市爱情喜剧《醋溜族》中饰演女主角小红 。2005年，推出第五张个人音乐专辑《一比一》 。2006年，推出第六张个人音乐专辑《我们的纪念日》 ；同年，担任Channel综艺节目《模范棒棒堂》的主持人。2007年，推出第七张个人音乐专辑《哲学家》 。2009年，凭借歌曲《想知道现在你好不好》获得“第七届东南劲爆音乐榜”劲爆十大金曲奖 。2011年，推出第十张个人音乐专辑《Love&Fanfan》 ；同年，举行“Love&FanFan”世界巡回演唱会 。2012年，凭借专辑《Love&Fanfan》获得“第六届腾讯星光大典”港台地区年度女歌手奖 ；同年，推出第12张个人音乐专辑《爱，在一起Together》 。2013年，获得“马来西亚第四届myastro至尊流行榜颁奖典礼”至尊海外女歌手奖；同年，担任北京卫视音乐竞技类节目《最美和声》的导师 。2016年，推出第13张个人音乐专辑《范范的感恩节》 。2017年，获得MTV全球华语音乐盛典最具影响力歌手奖、最佳十大金曲奖 。
NINJA,NINJA,NINJA在WOW指组队时ROLL别人的装备。在日文里，把忍者两个字分开看的话，"忍"的读音里有个和"按"这个词相同的；而"者"的读音有有个和"东西"的读音相同的，所以以这个方法组合后"忍者"就变成了"按·...东西"的意思了。所以乱按色子抢东西的就变成忍者了。
LALABOBO,lalabobo,时尚潮流品牌LALABOBO®是美式冲浪流行服饰在潮流界的代表之一，是潮流着装的新锐标志。
好乐宝,好乐宝,深圳市好乐宝家庭用品有限公司 是中国最大的工具贸易商深圳市新力科电子有限公司的全资子公司。
loveparis,Loveparis,1994年MissAlisa在香港开设第一间Loveparis专卖店，经过20年努力发展，海内外拥有多家直营店和加盟店，产品得到消费者的喜爱与追求。
zero,zero,zero是《龙背上的骑兵3》游戏的主人公，被称为“歌者”的特殊能力者。歌姬六姐妹真正的长女。辞别多年，突然回归的她，发誓要亲手杀死所有的妹妹。与一只白龙结下了羁绊，重情义。
法梦丽,法梦丽,法梦丽是一款生活实用类软件，运行环境支持Android2.1。
云思木想,云思木想,云思木想，用尽心竭力的灵感，真诚努力的劳作，带给你最美。
童雪,童雪,著名作家匪我思存小说《千山暮雪》女主角。由小说改编同名电视剧中女主角，该人物由颖儿饰演 。
Chartres,Chartres,《Chartres》是Stenopeica演唱的一首流行歌曲，所属专辑《Kathmandu-Eclissidelleduelune》。
阿仕顿,阿仕顿,阿仕顿，中国首家快时尚品牌重点建设示范基地、国家重点跟踪培育的服装家纺自主品牌企业、中国服装品牌年度最具潜力大奖、中国SPA商业模式先行者、中国休闲男装连锁行业领跑者。 
菲诺,菲诺,
Lion,锂离子电池,锂离子电池：是一种二次电池（充电电池），它主要依靠锂离子在正极和负极之间移动来工作。在充放电过程中，Li+在两个电极之间往返嵌入和脱嵌：充电时，Li+从正极脱嵌，经过电解质嵌入负极，负极处于富锂状态；放电时则相反。锂系电池分为锂电池和锂离子电池。手机和笔记本电脑使用的都是锂离子电池，通常人们俗称其为锂电池。电池一般采用含有锂元素的材料作为电极，是现代高性能电池的代表。而真正的锂电池由于危险性大，很少应用于日常电子产品。
博松,博松,博松是一名后卫，现在效力于塔拉戈纳足球俱乐部。
God of war,战神,《战神》是索尼电子娱乐开发的一款动作类单机游戏，2005年3月在北美PS2平台第一次推出。游戏以希腊神话为背景，讲述由凡人成为战神的奎托斯（Kratos）成为战神并展开弑神屠杀的冒险历程。
RB,右后卫,右后卫（rightback），足球场上球员位置，指的是活动范围不局限于边路的后卫，比如拉莫斯、萨内蒂、赞布罗塔等。
初创,初创,初创是个词语，指草创；开创。
三洋,三洋,三洋（SANYO），是日本的一家有60年历史的大型企业集团，总部位于日本大阪，产品涉及显示器、手机、数码相机、机械、生物制药等众多领域。三洋电机是日本Panasonic旗下的电器公司，全球拥有324间办公室及工厂与约100000名雇员。三洋电机由井植岁男（1902年－1969年）于1947年成立，并于1950年组成株式会社，创办人为松下幸之助的内弟以及松下电器前雇员。该公司的名字于日语中意思为“三个海洋”，指的是该公司的创办人有将他们的产品销售到世界各地，横跨大西洋、太平洋与印度洋的抱负。
AC米兰,AC米兰足球俱乐部,1899年12月16日，一群聚集在杜诺德（Dunawd）宾馆房间里的球迷成立了一家体育俱乐部—米兰板球和足球俱乐部，创始人为阿尔弗雷德·爱德华兹。此后历经了百年风风雨雨，AC米兰发展成为今天世界上最伟大的球队之一。为了和同在米兰的另一家足球俱乐部国际米兰区别，一般被称为AC米兰，或直接简称米兰。AC米兰的传统队服是红黑相间的间条衫，所以常被昵称为“Rossoneri”（意大利语，意为“红黑军团”）。2011年8月6日在北京鸟巢”举行的意大利超级杯赛中，AC米兰队战胜了同城死敌国际米兰，夺得超级杯。截至到2013年，AC米兰共获得过7次欧冠冠军，18次意甲联赛冠军，并且是世界上夺洲际杯次数最多的球队。2016年8月5日，AC米兰俱乐部主席贝卢斯科尼旗下的Fininvest财团官方发表声明，他们与来自中国的财团就俱乐部转让已经达成协议，中国财团将以7.4亿欧元收购米兰99.93%的股份 。次年4月13日，转让正式完成 。2016年12月24日00:30，AC米兰最终以总比分5-4战胜尤文夺冠，夺得队史第7座意大利超级杯冠军，追平尤文图斯。2017年11月27日，格纳罗·伊万·加图索出任主教练。
J&M,J&M,J&M是时尚鞋类品牌的代名词，它有一个时尚的中文名字——玛丽鞋。玛丽鞋被很多FANS称为“姐妹鞋”、“逛街鞋”，因为玛丽鞋穿起来极其轻便、舒适，显得特别个性、时尚，几乎成为逛街、购物一族的必备利器。
雷驰,雷驰,雷驰，男，1995年3月出生，四川遂宁船山人。2014年10月，进入天津港公安局消防支队。生前任天津港公安局消防支队消防员。2015年8月，在"8·12天津滨海新区爆炸事故"救援中牺牲战士。
舞女郎,舞女郎,舞女郎，属百合科，生长在温带、亚热带，中度喜光；稍耐荫；中等喜温，为多年生球根花卉；性成熟期三年。株高100-120cm，花粉色，基部白色，喉部黄绿色，花被片先端明显翻卷。
伊华欧秀,伊华欧秀,Evaouxiu“伊华欧秀”服饰是深圳市天尚服装有限公司旗下的品牌之一，该品牌一直秉承“创造时尚，追求经典”的经营理念，致力于引领时尚潮流的先锋。该品牌的名字来源于意大利的新锐设计师EvaNadia，就像女儿往往冠上父姓一样，EvaNadia创立了这个带着浓郁北欧风情的女装品牌。
JOURDAN DUNN,卓丹·邓,卓丹·邓(JourdanDunn)，1990年8月3日出生于英国伦敦，模特。是2008《Vogue》意大利版7月号黑人模特，更是英国时尚大奖的2008年度模特获得者。2016年评选为TCCandler全球最美面孔100人冠军。 
Mon2Fri,MON2FRI,MON2FRI是上海衣速服饰有限公司旗下内衣品牌，品牌主要专注男士内衣领域，主要品类有内衣、内裤、袜子、睡衣、浴巾、拖鞋；内裤是MON2FRI的核心品类，MON2FRI认为一件内裤不仅该保持着下半身的舒适，同时也要表达着上半身的思考.健康舒适趣味这正是MON2FRI所倡导的品牌理念。
乐倍康,乐倍康,乐倍康Lebilp，Lebilp乐倍康旨意要推动“医疗机构既是使患者快乐康复，又是倍感亲切、信任的神奇之地”这一全新理念。当人们习惯低廉、以次充好，且不一定价格合理的产品和服务之时，而Lebilp乐倍康则秉承锲而不舍的精神，孜孜于每个工作环节，务求奉献“最专业，最符合人性设计”的产品。
Katherine,Katherine,Katherine，女。Katherine，2015年被诊断出患有儿童脑肿瘤，与病魔抗争了一年后，7岁的Katherine最终还是在2016年6月离开了。
色彩街,色彩街,色彩街于1997年创立，2012年已有15年历史，经营翡翠，钻石，香水，泰国圣荷丰胸等女性高端时尚用品。色彩街总部位于北京，15年一直专注女性风采，致力于打造女性时尚最前沿平台。
许你一生,许你一生,《许你一生》是八田吠罗写的网络小说连载于云中书城。
七匹狼,福建七匹狼实业股份有限公司,七匹狼品牌创立于1990年，是中国男装行业开创性品牌。2000年推出格子茄克，成为红遍大江南北的“茄克之王”，并在此后连续16年中国茄克市场占有率第一。 2004年七匹狼实业股份有限公司作为中国服装业首家公司上市（股票代码：002029）。作为BrandZ最具价值中国品牌一百强，七匹狼在行业内率先系统提出“男人不只一面”的服装品牌文化经营理论，形成了以品牌为核心、以生活形态产业为主导的现代企业经营体系。 在立足于对博大精深的中华传统文化积极挖掘的同时，七匹狼将西方流行时尚元素融于自身设计理念，并致力于推动中国传统文化与现代时尚创意产业的契合。“男人不只一面”，七匹狼以“品格男装”突显国际化品质和中西兼容的文化格调，以时尚传承经典，以中国面向世界。2016年6月20日，米兰富有历史与盛名的圣巴拿巴回廊内，七匹狼2017年春夏狼文化大秀上演。这是七匹狼继2015年作为首个被米兰时装周官方邀请走秀的中国男装品牌登上米兰时装周之后，再次登上这个时尚领域的顶尖盛事。 
女人心,女人心,《女人心》是莫扎特后期创作的意大利喜歌剧（OperaBuffa）典范之一。1790年1月6日首演于维也纳布尔格剧院。它是莫扎特作品中最完美和平衡的一部。在今天它也被认为是最富于人情味的最优秀的喜剧之一。
纳努,纳努,纳努，别称塔塔家族，是印度第一大商业世家，塔塔集团历史悠久；是巴斯人创办的企业，可上溯至十九世纪大英帝国殖民时期的孟买。
江南故事,江南故事,《江南故事》吕薇萧山首场音乐会CD，于2007年出版发行。
九能,九能,九能，拼音是jiǔnéng，是一个汉语词汇，释义为古指大夫应当具备的九种才能。
百诺达,百诺达,百诺达，英文名Belords寓意是成为自信优雅时尚品味的主人，表达了现代都市女性内心自信，并由内而外散发的优雅品味的气质。
大森林,空中村落,《空中村落》（LeVillageaérien）是法国著名作家儒勒·凡尔纳的小说。全书共18章。小说写于1896年1月26日～4月30日 ；于1901年1月1日～6月15日首次连载于《教育与娱乐杂志》（Magasind’ÉducationetdeRécréation）；1901年7月11日出版单行本；1901年11月21日出版插图本。39幅插图由GeorgeRoux绘制。 
CIH,CIH病毒,CIH病毒是一种能够破坏计算机系统硬件的恶性病毒。这个病毒产自台湾，原集嘉通讯公司（技嘉子公司）手机研发中心主任工程师陈盈豪在其于台湾大同工学院念书期间制作。 最早随国际两大盗版集团贩卖的盗版光盘在欧美等地广泛传播，随后进一步通过网络传播到全世界各个角落。
和家缘,和家缘,和家缘是妈妈装服装品牌，创立于2010年初，由一群有着丰富创造力的设计师们共同努力，凭借着对妈妈装的热爱和丰富的电子商务运作经验，为广大母亲带来不一样的穿着体验。
FFTMTM,FFTMTM,FFTMTM 于2012年06月14日在中国商标网注册的商标；商品服务:服装;领带;帽;皮带(服饰用);茄克(服装);手套(服装);袜;鞋;婴儿全套衣;游泳衣;
报喜鸟,报喜鸟,报喜鸟集团有限公司组建于1996年，以服装为主业，相继建设了温州、上海、合肥三大工业园区，创立报喜鸟高级男装品牌、宝鸟职业装品牌，同时控股中楠房地产开发公司进入房地产业。报喜鸟第三季净利降65.31%报喜鸟 日前发布的2013年第三季度财报显示，2013年第三季度，公司实现营业收入5.15亿元，同比下滑35.51%，归属于上市公司股东的净利润仅为0.75亿元，同比下滑65.31%。
薇尔,薇尔,
六花亭,六花亭,
琼琚,琼琚,琼琚是一种精美的玉佩，出自《诗·卫风·木瓜》。玉在古人的生活中有重要的地位。古人认为玉乃是吉祥之饰物，玉是一种有灵气的宝物，一块上好的玉件能给人带来好运，趋吉避凶。
斐乐,FILA,FILA（斐乐）是世界前十位的运动品牌，主要从事网球、滑雪、高尔夫、瑜珈、赛车等高雅运动相关产品的开发。明快大胆的设计风格、卓尔不群的高雅气质和独特的产品功效，使FILA（斐乐）在国际顶尖运动品牌中风韵独具，誉满全球。品牌于1911年由FILA兄弟在意大利BIELLA创立，至今已经有一百多年历史。上个世纪七十年代，FILA配合多元化策略，拓展运动服装业务。并在之后的岁月里先后开发了高尔夫、网球、健身，瑜伽、跑步及滑雪系列，最终奠定了世界著名运动品牌的中坚地位，被认为是艺术的代表，奢华的典范。
PORTS,宝姿,1961年，PORTS（宝姿）诞生于加拿大港口城市多伦多。创始人LukeTanabe先生是一位环球梦想家，追求“清晨在撒哈拉沙漠畅游、傍晚在纽约晚餐”的生活方式。他从一件顶级质地、做工考究的NO.10白衬衫建立起PORTS时尚王国，如今产品系列包括男女装、手袋配饰、眼镜、香氛等，简约优雅的时装风格深得全球名流及时尚人士钟爱。 
OTV,OTV,OTV（OnlineTV），线上电视台。
laxdn,LAXDN,上个世纪80年代初期，潜心研究服装设计的LAXDN家族在吸纳了众多国际名师的设计风格后，逐渐形成了独特的时装设计理念，推出了一系列以法国奢靡格调为依归的高级订做男装。
步森,步森,步森集团是一家以服装服饰为主导产业，建材业、房地产业、流通贸易业为新兴产业，声誉卓著、实力雄厚的大型企业集团公司，创建于1985年，现有员工3500余人，总资产近20亿元。步森，中国驰名品牌之一，专注于男士衬衫、西服、西裤以及茄克衫、T恤衫、职业装等服装服饰系列产品的生产和销售。自1985年创建，步森持续稳定而快速地发展，奠定了步森服饰在服装领域的主导地位，成为优秀的大众化强势品牌。
真澳袋鼠,真澳袋鼠,真澳袋鼠皮具（kangarookingdom）也称澳大利亚袋鼠（kangarookingdom）。在中国区域叫真澳袋鼠的人群多一些，真澳袋鼠在互联网上叫法比较普遍，澳大利亚袋鼠皮具是正规以及公司运营上的一种全称！
leaveland,leaveland,LEAVELAND是意大利男装品牌，其创始人安东尼奥伯莱迪是米兰城著名的制鞋商，他将枫叶作为标志印在那些皮革制品上。历史可以追溯到上个世纪的1952年。
The North Face,乐斯菲斯,TheNorthFace®北面，美国著名户外品牌，成立于1966年，是美国上市公司VF集团的重要一员，总部位于美国加利福尼亚州一个获得LEED白金级认证的节能环保产业园内致力于为户外运动员的每一次严酷探险提供专业装备。
Disney,迪士尼,全球闻名遐迩的迪士尼，全称为TheWaltDisneyCompany，取名自其创始人华特·迪士尼，是总部设在美国伯班克的大型跨国公司，主要业务包括娱乐节目制作，主题公园，玩具，图书，电子游戏和传媒网络。皮克斯动画工作室（PIXARAnimationStudio）、惊奇漫画公司（MarvelEntertainmentInc）、试金石电影公司（TouchstonePictures）、米拉麦克斯（Miramax）电影公司、博伟影视公司（BuenaVistaHomeEntertainment）、好莱坞电影公司（HollywoodPictures）、ESPN体育，美国广播公司（ABC）都是其旗下的公司（品牌）。迪士尼于2012年11月收购了卢卡斯影业。2017年6月，《2017年BrandZ最具价值全球品牌100强》公布，迪士尼排名第18位。 
CURRENCY,Currency,Currency是一种所有者与市场关于交换权的契约，基本职能是价值尺度和流通手段，一般等价物。
布梵希,布梵希,布梵希(puvenchy)一个代表都市时尚品位的时装品牌。创始于2001年。布梵希是以设计、生产及销售于一体化的著名时装品牌。目前，布梵希在国内市场拥有逾200家高质量门店，包括重庆王府井、远东百货、新视界、成都王府井、拉萨茂业百货、北京中友、乌鲁木齐有好等品牌形象力和市场影响力为国内女装标杆。
智朴,智朴,智朴，姓张，自拙庵，江苏徐州人，生于明崇祯九年（1636），卒年不祥。
欣岚,欣岚,《欣岚》是晋江文学城连载的小说，作者是南宫兰陵。
圣大保罗,圣大保罗,世界名牌“圣大保罗”(SANTABARBARAPOLO&RACQUETCLUB)服饰系列，源自1910年的美国加州圣塔芭芭拉马球俱乐部，以该俱乐部发展的“圣大保罗”标志系列产品，成为显示身份及品味高雅阶层最喜爱的服装品牌，是从贵族运动中产生的名流绅士服饰。
ZET,zet,Cs职业玩家，Usp神射手。国外著名顶级职业电子竞技选手（Counter-Strike）反恐精英玩家简称“CSER”曾获得无数荣誉与奖项。他是一个不可思议的天才，他那如飞瀑奔泻般流畅的进攻型风格让世界看得如痴如醉。
101忠狗,101忠狗,《101忠狗》是美国1997年迪士尼动画片，由PamelaAdlon等人配音。
良媒,良媒,良媒，读音是liángméi，是一个汉语词汇，解释为好媒人。
YS,YS,YS，是单机游戏伊苏的缩写，YS的系列作品主要有Falcom本社制作发行版本等40多个。Falcom为说明YS为缩写，只是有一些版本游戏说明上将其称为YS。如YSO是游戏起源的代称。另外还有屈服强度（YS）yieldstrength，又称为屈服极限，常用符号δs，是材料屈服的临界应力值。口头语【你妹】的英文缩写，(YourSister)等。
warmen,warmen,JanneWarman（珍妮瓦曼）为芬兰首席金属键盘手，素有琴邪和第一快手之称，在其俊俏的外表之下，亦弹得一手好琴，黑白琴键在其灵巧的双手舞弄之下变化万千，深厚的古典造诣融合巧妙的融入金属乐中，可说是惟妙惟肖。
幻想曲,幻想曲,《幻想曲》是由王超执导的文艺剧情片，菅韧姿、胡瑞杰等主演。该片讲述的是一个重庆普通家庭因父亲重病陷入困境的故事 。影片是入围第67戛纳电影节“一种关注”单元中唯一的华语片，于2014年6月20日在中国上映 。
斯莱德,斯莱德,Shredder曾和Splinter是最好的朋友，但因为情敌关系最终决裂。 
隆庆祥,隆庆祥,北京隆庆祥服饰有限公司（简称隆庆祥），拥有四百年家族制衣史，为“中华老字号”会员单位，是一家以专业“量身定制”高档西装、衬衫、定制皮鞋为主营业务，兼营多种服饰类产品，集设计、研发、生产、销售于一体的综合性、现代化服装企业。隆庆祥是全国量身定制重点企业，也是全国规模最大的量身定制服装服饰企业。目前，隆庆祥销售网络已覆盖北京、天津、河北、河南、江苏、安徽、山东七省，拥有百余家直营店面。2014年获中国驰名商标称号。
qiji,Qiji,
wonderbra,wonderbra,wonderbra是全球最著名的内衣品牌之一，是美国芝加哥莎莉公司(SaraLee)旗下的一个品牌。
昭孝,昭孝,昭孝是一个汉语词语，读音是zhāoxiào，是指宣扬孝道。
刺金时代,小时代3.0刺金时代,《小时代：刺金时代》继续讲述林萧、顾里、南湘、唐宛如四位主角，以及顾源、简溪、宫洺、周崇光、Neil、卫海这一群人，他们挥手作别青春校园步入职场后，随着自身环境的变化和人生阅历的不断增长，围绕友谊、爱情和职场，日益融入生活的滚滚洪流之中的迷失、怅惘、怀念却又不能不勇往直前的故事。 
瑞贝卡·明可弗,瑞贝卡·明可弗,瑞贝卡·明可弗，美国著名设计师，在南加州出生长大，2001年创办了同名包包品牌“瑞贝卡·明可弗”，包包备受新一代好莱坞明星的推崇。
珂宣尼,珂宣尼,珂宣尼 是由广州溢然贸易有限公司于2015年02月07日在中国商标网注册的商标；商品服务:服装;婚纱;裤子;帽;内衣;皮带(服饰用);手套(服装);袜;围巾;鞋;
自古,自古,自古ZIGU，东方禅意原创设计师品牌。创立于二零一四年五月。自古，意为自然自在，自古至今。取自唐·林宽《歌风台》：“莫言马上得天下，自古英雄尽解诗。意指潜心沉意的内在修行。“
圣得西,圣得西,圣得西（集团）有限公司始创于1989年，公司主要从事西服、西裤、休闲上衣、茄克、T恤、休闲裤、毛衫、衬衣、皮具等男士正装和商务休闲系列化产品的开发、生产和销售，目前拥有“圣得西”、“圣奥威斯”等品牌。公司先后在巴黎、上海建立研发设计中心，引进意大利、日本、德国等国家20余条顶级生产线，聚结世界前沿的服装技术，为中国男士量身打造优雅、舒展的圣得西。历年来，圣得西以其款式新颖、面料精美、工艺精湛而著称，是目前国内高级男士正装和休闲装的代表。
碧淑黛芙,碧淑黛芙,BISOUD’EVE——夏娃之吻，BISOU是法文KISS亲吻之意，也就是大名鼎鼎的法式贴面礼——朋友之间的接吻；EVE是法文夏娃之意，是BISOUD’EVE品牌创始人。
花念锦,花念锦,《花念锦》是云七裳创作的网络小说，发表于起点网。
单曲循环,单曲循环,《单曲循环》是星弟作词作曲并演唱的一首歌曲。
蓝慕,蓝慕,《蓝慕》是Minii0oi创作的网络小说，发表于小说阅读网。
StandFocus,standfocus,standfocus是恒卓香港有限公司旗下的一个服装配饰牌子恒卓香港有限公司，是一家集设计、制作、销售于一体的外销型公司。
logan lerman,罗根·勒曼,罗根·勒曼（LoganLerman），1992年1月19日出生于美国加州洛杉矶比佛利山庄，美国演员。2000年，罗根·勒曼出演了自己的电影处女作《爱国者》 。2003年主演了电视电影《已上漆的房子》并凭借本片赢得青年艺人大奖电视电影或迷你剧最佳年轻男主角奖 。2004年在电影《蝴蝶效应》中出演了男主角的儿童时代 ；同年主演连续剧《杰克和鲍比》并凭借本片赢得青年艺人大奖喜剧或剧情类连续剧最佳年轻男主角奖  。2006年，他主演了电影《我爱猫头鹰》并凭借本片赢得青年艺人大奖故事片最佳年轻男主角奖  。2007年主演西部片《决斗犹马镇》 。2010年在电影《波西·杰克逊与神火之盗》中饰演主角波西·杰克逊并凭借本片获得土星奖最佳年轻男演员的提名。2011年在根据法国作家大仲马代表作改编的电影《三个火枪手》中饰演了主角达达尼昂 。2012年罗根·勒曼和艾玛·沃特森共同主演了电影《壁花少年》 。2014年在电影《诺亚方舟：创世之旅》中饰演男主角男主角罗素·克劳的儿子Ham 。
CDV,CDV,(CDV公司成立于成立，当时名称为CDV软件公司，为德国军方开发作战训练软件。1998年CDV更名为CDV软件娱乐公司，并致力于开发具有史实性的电子游戏。同时，CDV（CarDerivedVan）的也是一种汽车类型，即基于轿车平台的厢式车。
粉红大布娃娃,粉红大布娃娃,打造出精致女人公式的女装品牌，粉红大布娃娃也加入了2014CHIC展!精致浮雕印花的圆拱门展厅，细腻柔和的壁灯，浪漫的金色灯罩样式展架，金丝可见光影斑驳，蝴蝶飞舞翩跹，优雅精致女人的形象，从此陈列细节便可见一斑。
SAMII,samii,
agitation,agitation,agitation，意思是摇动，剧烈的振动。
MIJI,miji,米基（MIJI）为国内知名的女鞋品牌，以“舒适、甜美、素雅”为主流，亦不乏新潮、时尚、前卫。并以大众化的价格、优质的产品及诚信的服务确立了自己鲜明的品牌形象，短短几年内迅速受到广大消费者的喜爱与拥戴。在网络上提出‘合适就穿，不适就退’的购物理念。为其赢得了广泛的人脉。米基（MIJI）时尚完美主义，米基每一款鞋都成为了白领女性品牌选择的最爱。
极地火,极地火,极地火（英文名称：POLARFIRE），原意是在极寒地方的一团火，是由美籍华裔材料分子科学家郝登云先生一手创建。该品牌由92年给THENORTHFACE做冲锋衣代工做起，2001年建立自己的品牌Polarfire专业致力于冲锋衣的研发和生产，2005年成为美国第十山地师的指定军服供应商，使得polarfire这个品牌在欧美的冲锋衣市场上与老东家THENORTHFACE站在了同一起跑线，2012年开始试水国内市场。
娅诗凡,娅诗凡,
beanpole,BEANPOLE,BEANPOLE于1989年在韩国创立，隶属于韩国三星集团。2001年，BEANPOLE女装开始正式成为独立品牌运营从此BEANPOLE家族品牌概念逐步成形。现在BEANPOLE已成为拥有BEANPOLEMENBEANPOLELADIESBEANPOLEKIDSBEANPOLEOUTDOORBEANPOLEACCESSORYBEANPOLEGOLF，BIKEREPAIRSHOP7个系列品牌的庞大品牌体系。在中国市场目前运营的有BEANPOLEMENBEANPOLELADIESBEANPOLEKIDSBEANPOLEOUTDOOR及BEANPOLEACCESSORY。
BVLGARI,宝格丽,宝格丽（BVLGARI ）成立于1884年 ，是意大利珠宝品牌 。1879年，索帝里欧·宝格丽举家移民到意大利的那不勒斯，1884年他在罗马开了一家银器店，专门出售精美的银制雕刻品。宝格丽在首饰生产中以色彩为设计精髓，独创性地用多种不同颜色的宝石进行搭配组合，再运用不同材质的底座，以凸显宝石的耀眼色彩。
